site,source_entries,kind,opcode,target,target_name,classification,confidence
0x40000,game_start_veneer@0x40000,jump,jmp 0x4014c.l,0x04014C,game_start,documented_game_entry,Verified
0x40006,game_vblank_veneer@0x40006,jump,jmp 0x4017e.l,0x04017E,game_vblank,documented_game_entry,Verified
0x4000C,game_irq1_watchdog_trap@0x4000C,jump,jmp 0x4000c.l,0x04000C,game_irq1_watchdog_trap,documented_game_entry,Verified
0x40012,game_irq3_watchdog_trap@0x40012,jump,jmp 0x40012.l,0x040012,game_irq3_watchdog_trap,documented_game_entry,Verified
0x40018,game_irq2_watchdog_trap@0x40018,jump,jmp 0x40018.l,0x040018,game_irq2_watchdog_trap,documented_game_entry,Verified
0x4001E,game_irq6_sound_veneer@0x4001E,jump,jmp 0x17e.l,0x00017E,sound_receive_irq_body,documented_os_api,Verified
0x40024,game_exception_veneer@0x40024,jump,jmp 0x40140.l,0x040140,game_exception_abort,documented_game_entry,Verified
0x40030,game_playfield_init_veneer@0x40030,jump,jmp 0x44a82.l,0x044A82,game_playfield_init,documented_game_entry,Verified
0x40048,game_options_veneer@0x40048,jump,jmp 0x5317c.l,0x05317C,game_options_display,documented_game_entry,Verified
0x40054,game_rom_verify_veneer@0x40054,jump,jmp 0x56eaa.l,0x056EAA,slapstic_verify,documented_game_entry,Verified
0x400DE,scroll_to_slot_veneer@0x400DE,jump,jmp 0x46c5e.l,0x046C5E,scroll_to_slot,documented_game_entry,Verified
0x400E4,init_display_veneer@0x400E4,jump,jmp 0x43486.l,0x043486,init_display,documented_game_entry,Verified
0x400EA,maze_setup_veneer@0x400EA,jump,jmp 0x44ac2.l,0x044AC2,maze_setupnew,documented_game_entry,Verified
0x400F0,pf_replace_veneer@0x400F0,jump,jmp 0x5f31e.l,0x05F31E,pf_replace,documented_game_entry,Verified
0x400F6,mob_clear_veneer@0x400F6,jump,jmp 0x5ddda.l,0x05DDDA,moblist_remove_and_clear,documented_game_entry,Verified
0x40146,game_exception_abort@0x40140;game_vblank@0x4017E,jump,jmp 0x10000.l,0x010000,decoded_unpopulated_rom_abort_target,watchdog_abort_jump,Strong inference
0x40178,game_start@0x4014C,jump,jmp 0x42a66.l,0x042A66,g2mainloop,documented_game_entry,Verified
0x40206,game_vblank@0x4017E,call,jsr 0x905f18.l,0x905F18,player_power_palette_stub,named_runtime_stub,Verified
0x40226,game_vblank@0x4017E,call,jsr 0x905f00.l,0x905F00,player_hurt_palette_stub,named_runtime_stub,Verified
0x4024E,game_vblank@0x4017E,call,jsr 0x905f1e.l,0x905F1E,player_power_palette_stub,named_runtime_stub,Verified
0x4026E,game_vblank@0x4017E,call,jsr 0x905f06.l,0x905F06,player_hurt_palette_stub,named_runtime_stub,Verified
0x40296,game_vblank@0x4017E,call,jsr 0x905f24.l,0x905F24,player_power_palette_stub,named_runtime_stub,Verified
0x402B6,game_vblank@0x4017E,call,jsr 0x905f0c.l,0x905F0C,player_hurt_palette_stub,named_runtime_stub,Verified
0x402DE,game_vblank@0x4017E,call,jsr 0x905f2a.l,0x905F2A,player_power_palette_stub,named_runtime_stub,Verified
0x402FE,game_vblank@0x4017E,call,jsr 0x905f12.l,0x905F12,player_hurt_palette_stub,named_runtime_stub,Verified
0x40484,game_vblank@0x4017E,call,jsr 0x184.w,0x000184,eeprom_check_busy,documented_os_api,Verified
0x40494,game_vblank@0x4017E,jump,jmp (a0),,initial_PC_loaded_from_0x000004,reset_vector_jump,Verified
0x40496,game_vblank@0x4017E,call,jsr 0x15a.w,0x00015A,process_sound,documented_os_api,Verified
0x40576,main_cycle_tport_and_ffield@0x40528,call,jsr 0x5fc46.l,0x05FC46,random_word,documented_game_entry,Verified
0x406F2,mob_probe_up@0x406B6,call,bsr.w 0x407a6,0x0407A6,mob_probe_candidate,documented_game_entry,Verified
0x40706,mob_probe_up@0x406B6,call,bsr.w 0x407a6,0x0407A6,mob_probe_candidate,documented_game_entry,Verified
0x4071A,mob_probe_up@0x406B6,call,bsr.w 0x407a6,0x0407A6,mob_probe_candidate,documented_game_entry,Verified
0x4076C,mob_probe_down@0x40732,call,bsr.b 0x407a6,0x0407A6,mob_probe_candidate,documented_game_entry,Verified
0x4077E,mob_probe_down@0x40732,call,bsr.b 0x407a6,0x0407A6,mob_probe_candidate,documented_game_entry,Verified
0x40790,mob_probe_down@0x40732,call,bsr.b 0x407a6,0x0407A6,mob_probe_candidate,documented_game_entry,Verified
0x40866,mob_probe_left@0x4083A,call,bsr.w 0x407a6,0x0407A6,mob_probe_candidate,documented_game_entry,Verified
0x40876,mob_probe_left@0x4083A,call,bsr.w 0x407a6,0x0407A6,mob_probe_candidate,documented_game_entry,Verified
0x40888,mob_probe_left@0x4083A,call,bsr.w 0x407a6,0x0407A6,mob_probe_candidate,documented_game_entry,Verified
0x408CC,mob_probe_right@0x408A0,call,bsr.w 0x407a6,0x0407A6,mob_probe_candidate,documented_game_entry,Verified
0x408DC,mob_probe_right@0x408A0,call,bsr.w 0x407a6,0x0407A6,mob_probe_candidate,documented_game_entry,Verified
0x408EE,mob_probe_right@0x408A0,call,bsr.w 0x407a6,0x0407A6,mob_probe_candidate,documented_game_entry,Verified
